Video Time_s Positive_count Negative_count
Video1 0.09523809523809523 0.10119047619047619 0.16496350364963502
Video2 0.19387755102040816 0.08630952380952381 0.0
Video3 0.04591836734693878 0.12244897959183673 0.21021897810218979
Video4 0.04421768707482993 0.12755102040816327 0.07737226277372262
Video5 0.09013605442176871 0.10374149659863946 0.07737226277372262
Video6 0.1326530612244898 0.09523809523809523 0.08321167883211679
Video7 0.08163265306122448 0.09523809523809523 0.07737226277372262
Video8 0.08503401360544217 0.10289115646258504 0.07737226277372262
Video9 0.08673469387755102 0.10119047619047619 0.07445255474452554
Video10 1.0 0.10119047619047619 0.072992700729927
Video11 0.08163265306122448 0.10841836734693877 0.07737226277372262
Video12 0.1360544217687075 0.37755102040816324 0.08175182481751825
Video13 0.11904761904761904 0.12287414965986394 0.08321167883211679
Video14 0.08163265306122448 0.008503401360544218 0.07445255474452554
Video15 0.08163265306122448 0.00977891156462585 0.07445255474452554
Video16 0.08163265306122448 0.008503401360544218 0.07445255474452554
Video17 0.08503401360544217 0.10289115646258504 0.9372262773722628
Video18 0.08673469387755102 0.0 0.0
Video19 0.0 0.1445578231292517 0.3562043795620438
Video20 0.034013605442176874 0.10374149659863946 0.327007299270073
Video21 0.12585034013605442 0.10374149659863946 0.07737226277372262
Video22 0.0 0.10289115646258504 0.9576642335766423
Video23 0.1377551020408163 0.10246598639455783 0.07737226277372262
Video24 0.13435374149659865 0.1016156462585034 0.08175182481751825
Video25 0.13945578231292516 0.1016156462585034 0.07737226277372262
Video26 0.14965986394557823 0.1016156462585034 0.07737226277372262
Video27 0.1836734693877551 0.1016156462585034 0.07737226277372262
Video28 0.1377551020408163 0.09523809523809523 0.08321167883211679
Video29 0.1360544217687075 1.0 1.0
Video30 0.12414965986394558 0.10289115646258504 0.07737226277372262
Video31 0.1326530612244898 0.0858843537414966 0.08175182481751825
Video32 0.12414965986394558 0.10459183673469388 0.08321167883211679
Video33 0.1377551020408163 0.1050170068027211 0.07737226277372262
Video34 0.1326530612244898 0.10416666666666667 0.08321167883211679
Video35 0.1377551020408163 0.1050170068027211 0.07737226277372262
Video36 0.13945578231292516 0.10416666666666667 0.07445255474452554
Video37 0.12585034013605442 0.10374149659863946 0.07591240875912408
Video38 0.1377551020408163 0.10289115646258504 0.08029197080291971
Video39 0.1377551020408163 0.10289115646258504 0.07445255474452554
Video40 0.1377551020408163 0.10289115646258504 0.08029197080291971
